Month,Passengers
1949-01-01,0.4392162192427551
1949-02-01,0.44628058852263575
1949-03-01,0.46103807069244873
1949-04-01,0.45805745528098174
1949-05-01,0.44963417555464036
1949-06-01,0.46392966471264485
1949-07-01,0.4755384163269025
1949-08-01,0.4755384163269025
1949-09-01,0.4648745640515514
1949-10-01,0.44741105318946034
1949-11-01,0.4289604079356927
1949-12-01,0.44628058852263575
1950-01-01,0.44281042800089326
1950-02-01,0.45498276915443986
1950-03-01,0.4694641199849639
1950-04-01,0.46392966471264485
1950-05-01,0.4539360365623579
1950-06-01,0.47637507734325424
1950-07-01,0.49239806677006376
1950-08-01,0.49239806677006376
1950-09-01,0.4835854795613798
1950-10-01,0.46201158861225455
1950-11-01,0.44162653025441334
1950-12-01,0.46856368687297806
1951-01-01,0.47298281259407976
1951-02-01,0.477204336977854
1951-03-01,0.49783114711156035
1951-04-01,0.48736107431627523
1951-05-01,0.49378734533855095
1951-06-01,0.49783114711156035
1951-07-01,0.510691283570174
1951-08-01,0.510691283570174
1951-09-01,0.5017001749851625
1951-10-01,0.48661826747065073
1951-11-01,0.47384240803563027
1951-12-01,0.48955397487674224
1952-01-01,0.493095373464612
1952-02-01,0.49913956037667606
1952-03-01,0.5072044785854076
1952-04-01,0.4997866486791717
1952-05-01,0.5010668961831048
1952-06-01,0.5208889416157679
1952-07-01,0.5267536546822931
1952-08-01,0.5322356316488618
1952-09-01,0.5162087188542304
1952-10-01,0.5060106604838572
1952-11-01,0.49378734533855095
1952-12-01,0.5077953522342559
1953-01-01,0.50896527148566
1953-02-01,0.50896527148566
1953-03-01,0.5295396230778907
1953-04-01,0.5290816873457675
1953-05-01,0.5262801948824082
1953-06-01,0.5326765871127875
1953-07-01,0.5414300222336759
1953-08-01,0.5445324003680051
1953-09-01,0.5299950609606546
1953-10-01,0.5172710961740657
1953-11-01,0.49913956037667606
1953-12-01,0.5118232422465102
1954-01-01,0.5134939743197018
1954-02-01,0.5041890018103964
1954-03-01,0.5290816873457675
1954-04-01,0.5253252065186244
1954-05-01,0.5286212288079198
1954-06-01,0.5414300222336759
1954-07-01,0.5552025237958073
1954-08-01,0.5521489064216335
1954-09-01,0.5394290880522583
1954-10-01,0.5262801948824082
1954-11-01,0.5129406349086472
1954-12-01,0.5262801948824082
1955-01-01,0.5322356316488618
1955-02-01,0.5281582221467086
1955-03-01,0.5426073763873306
1955-04-01,0.5433828902055096
1955-05-01,0.5437678791606003
1955-06-01,0.5594141505775474
1955-07-01,0.5735016961754162
1955-08-01,0.5689018146518344
1955-09-01,0.558462138142699
1955-10-01,0.5452897493049649
1955-11-01,0.5299950609606546
1955-12-01,0.5467834128241745
1956-01-01,0.5489730561063955
1956-02-01,0.5464125893488092
1956-03-01,0.5600424353494087
1956-04-01,0.5587807662686081
1956-05-01,0.560354688679745
1956-06-01,0.5760823667882358
1956-07-01,0.5853725227918936
1956-08-01,0.5835594673147337
1956-09-01,0.5711012062055802
1956-10-01,0.5565226520513409
1956-11-01,0.544151044000012
1956-12-01,0.5565226520513409
1957-01-01,0.5594141505775474
1957-02-01,0.5548690039513205
1957-03-01,0.5713717123156782
1957-04-01,0.5691802353819261
1957-05-01,0.5711012062055802
1957-06-01,0.5873601090211719
1957-07-01,0.5961716965783568
1957-08-01,0.5965564504232355
1957-09-01,0.5833296663472604
1957-10-01,0.5689018146518344
1957-11-01,0.5561946913987159
1957-12-01,0.5657703947116506
1958-01-01,0.5669239492339818
1958-02-01,0.560354688679745
1958-03-01,0.572974793072692
1958-04-01,0.5691802353819261
1958-05-01,0.5732387037723969
1958-06-01,0.5901388671121869
1958-07-01,0.601018514230427
1958-08-01,0.6034973284606642
1958-09-01,0.5833296663472604
1958-10-01,0.5721774922626911
1958-11-01,0.5578209617650496
1958-12-01,0.5660604114340718
1959-01-01,0.5724441932655258
1959-02-01,0.5674942876941136
1959-03-01,0.5837885547478049
1959-04-01,0.5814650757953614
1959-05-01,0.5869230597685621
1959-06-01,0.5975093751487733
1959-07-01,0.6106050099195112
1959-08-01,0.6123121919832547
1959-09-01,0.5957848644091248
1959-10-01,0.5840169326832096
1959-11-01,0.572974793072692
1959-12-01,0.5835594673147337
1960-01-01,0.5862625546203114
1960-02-01,0.5802754231629842
1960-03-01,0.5867035524939924
1960-04-01,0.5953959332821134
1960-05-01,0.5975093751487733
1960-06-01,0.6085315835665727
1960-07-01,0.6213459120151765
1960-08-01,0.6191628065790328
1960-09-01,0.6040173478003628
1960-10-01,0.5953959332821134
1960-11-01,0.5800351895180157
1960-12-01,0.5895069596354767
